TIME FRACTION
0.000000000000000000e+00 9.997792727537621049e-01
2.893939393939393767e+02 9.715459468513785168e-01
5.787878787878787534e+02 9.356715731092750676e-01
8.681818181818182438e+02 9.068697910001417561e-01
1.157575757575757507e+03 8.532519539122948027e-01
1.446969696969696997e+03 8.329856147659917553e-01
1.736363636363636488e+03 8.182898096375779140e-01
2.025757575757575751e+03 7.705115775123815292e-01
2.315151515151515014e+03 7.656908295258282315e-01
2.604545454545454504e+03 7.401833940278381707e-01
2.893939393939393995e+03 6.966019662505030796e-01
3.183333333333333485e+03 6.704015990517205870e-01
3.472727272727272975e+03 6.596538238829935397e-01
3.762121212121212011e+03 6.236049059478863121e-01
4.051515151515151501e+03 6.348562767927967698e-01
4.340909090909090992e+03 5.902891040517720400e-01
4.630303030303030027e+03 5.738795636721721882e-01
4.919696969696969973e+03 5.600278449312694473e-01
5.209090909090909008e+03 5.401434867933582185e-01
5.498484848484848044e+03 5.070369323067004386e-01
5.787878787878787989e+03 5.167877776156515335e-01
6.077272727272727025e+03 4.849457380830784481e-01
6.366666666666666970e+03 4.782878432405733293e-01
6.656060606060606005e+03 4.367063199373810711e-01
6.945454545454545951e+03 4.381357280929732423e-01
7.234848484848484077e+03 4.092009012775948418e-01
7.524242424242424022e+03 4.139525172109079221e-01
7.813636363636363058e+03 3.913388078247308499e-01
8.103030303030303003e+03 3.789980913173275900e-01
8.392424242424242038e+03 3.439543331130395787e-01
8.681818181818181984e+03 3.429265760982633804e-01
8.971212121212120110e+03 3.371703133437539690e-01
9.260606060606060055e+03 3.235099037914631048e-01
9.550000000000000000e+03 3.150197338724413099e-01
9.839393939393939945e+03 3.004700717106007501e-01
1.012878787878787989e+04 2.858475509014072879e-01
1.041818181818181802e+04 2.850696840452150438e-01
1.070757575757575796e+04 2.622871932853592658e-01
1.099696969696969609e+04 2.662834370896525749e-01
1.128636363636363603e+04 2.513177548965206953e-01
1.157575757575757598e+04 2.448184738245296199e-01
1.186515151515151410e+04 2.404905786222426844e-01
1.215454545454545405e+04 2.483603881025041316e-01
1.244393939393939399e+04 2.276842785895921983e-01
1.273333333333333394e+04 2.102132753000903465e-01
1.302272727272727207e+04 1.870222967293584115e-01
1.331212121212121201e+04 2.114168508713766548e-01
1.360151515151515196e+04 1.916909527645505318e-01
1.389090909090909190e+04 1.753191457845006407e-01
1.418030303030303185e+04 1.845944125996790142e-01
1.446969696969696815e+04 1.764012582964159803e-01
1.475909090909090810e+04 1.804725098133401484e-01
1.504848484848484804e+04 1.634165387549915138e-01
1.533787878787878799e+04 1.588058701085184321e-01
1.562727272727272612e+04 1.600408628504984276e-01
1.591666666666666606e+04 1.276080843969807366e-01
1.620606060606060601e+04 1.290519178591045812e-01
1.649545454545454777e+04 1.301491943060425760e-01
1.678484848484848408e+04 1.358798953263298803e-01
1.707424242424242402e+04 1.371819148022396240e-01
1.736363636363636397e+04 1.284210446745591983e-01
1.765303030303030391e+04 1.155181707523484924e-01
1.794242424242424022e+04 1.123235100289231847e-01
1.823181818181818016e+04 1.000613488601519857e-01
1.852121212121212011e+04 1.147823656803534237e-01
1.881060606060606005e+04 1.111193170362953508e-01
1.910000000000000000e+04 1.080169987171561985e-01
1.938939393939393995e+04 8.403264277385989744e-02
1.967878787878787989e+04 8.922554980994026885e-02
1.996818181818181984e+04 7.600021809330680111e-02
2.025757575757575978e+04 7.597100236547166263e-02
2.054696969696969609e+04 6.987972327158142871e-02
2.083636363636363603e+04 7.441062301912940158e-02
2.112575757575757598e+04 7.067970186208125116e-02
2.141515151515151592e+04 7.589128534793899983e-02
2.170454545454545223e+04 6.719909392172561391e-02
2.199393939393939218e+04 7.326506265660169548e-02
2.228333333333333212e+04 8.372594951680256692e-02
2.257272727272727207e+04 5.640091581123055087e-02
2.286212121212121201e+04 5.889064218808483936e-02
2.315151515151515196e+04 6.677897725818957020e-02
2.344090909090909190e+04 2.551889564734520499e-02
2.373030303030302821e+04 8.475205695233649361e-02
2.401969696969697179e+04 4.710861062155132645e-02
2.430909090909090810e+04 6.550003823253250368e-02
2.459848484848485168e+04 5.342306765241429389e-02
2.488787878787878799e+04 4.439738846644343540e-02
2.517727272727272430e+04 2.636593611659391115e-02
2.546666666666666788e+04 5.942799586746005946e-02
2.575606060606060419e+04 4.046310815749201706e-02
2.604545454545454413e+04 3.860660341217784369e-02
2.633484848484848408e+04 3.702276645928466448e-02
2.662424242424242402e+04 4.482915518283343143e-02
2.691363636363636397e+04 5.399521934813251989e-02
2.720303030303030391e+04 3.531580760018367821e-02
2.749242424242424022e+04 2.841483157989982411e-02
2.778181818181818380e+04 3.114028501349520861e-02
2.807121212121212011e+04 4.031663466457649503e-02
2.836060606060606369e+04 2.105682901587185157e-02
2.865000000000000000e+04 2.843325899581846186e-02
